Manufacturer ,Headquarters,2025 Animal-Specific Gross Revenue,Core Veterinary Focus
Zoetis,USA,$9.47 Billion,Companion animal therapeutics & livestock medicine.
Merck,USA,$6.35 Billion,"Global livestock biologics, vaccines, & pet parasiticides."
Boehringer,Germany,$5.51 Billion (€4.88B),Pet therapeutics (NexGard franchise) & transboundary livestock vaccines.
Elanco,USA,$4.71 Billion,"Broad-spectrum dermatology, parasiticides, & poultry/cattle production."
IDEXX Laboratories,USA,$4.30 Billion,"In-clinic veterinary diagnostic equipment, rapid tests, & lab software."
Ceva,France,~$1.60 Billion,Poultry and swine vaccines alongside companion animal behavior products.
Virbac,France,~$1.20 Billion,"Aquaculture, companion animal dental care, and dermatological drugs."
Dechra,UK,~$1.00 Billion,Veterinary companion animal endocrinology and specialized ophthalmic drugs.
Vetoquinol,France,~$600 Million,"Anti-infectives, pain management, and reproductive therapies for livestock."
Parnell,Australia,~$40.5 Million,Bovine reproductive hormones & canine osteoarthritis therapeutics.
